Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
41,1.0,0.42780156930287677,30,38,109,3,9232,41,1,101331.0,225.17073170731706
42,0.41421353816986084,0.41421353816986084,1,4,8,1,64,2,1,190.0,1.5238095238095237
43,0.41421353816986084,0.41421353816986084,8,8,29,8,196,10,1,1338.0,4.558139534883721
44,0.41421353816986084,0.41421353816986084,2,6,16,1,52,5,1,325.0,1.1818181818181819
45,0.41421353816986084,0.41421353816986084,4,7,16,3,136,5,1,497.0,3.022222222222222
46,0.41421353816986084,0.41421353816986084,2,5,16,1,160,5,1,679.0,3.4782608695652173
47,1.0,0.428270122100567,29,38,104,88,9232,39,1,100979.0,196.4255319148936
48,0.41421353816986084,0.41421353816986084,2,3,11,1,48,3,1,139.0,1.0
49,0.41421353816986084,0.41421353816986084,5,8,24,3,148,8,1,806.0,3.020408163265306
50,0.41421353816986084,0.41421353816986084,5,11,24,1,88,8,1,708.0,1.76
51,0.41421353816986084,0.41421353816986084,5,12,24,6,232,8,1,1130.0,4.549019607843137
52,0.41421353816986084,0.41421353816986084,2,5,11,1,52,3,1,197.0,1.0
53,0.41421353816986084,0.41421353816986084,2,5,11,3,160,3,1,399.0,3.018867924528302
54,1.0,0.42780156930287677,30,38,112,1,9232,42,1,101494.0,170.96296296296296
55,1.0,0.4269523173570633,32,42,112,8,9232,42,1,102316.0,167.85454545454544
56,0.41421353816986084,0.41421353816986084,3,6,19,1,56,6,1,386.0,1.0
57,0.41421353816986084,0.41421353816986084,10,8,32,3,196,11,1,1653.0,3.43859649122807
58,0.41421353816986084,0.41421353816986084,5,7,19,1,88,6,1,500.0,1.5172413793103448
59,0.41421353816986084,0.41421353816986084,6,15,32,11,304,11,1,2187.0,5.1525423728813555
60,0.41421353816986084,0.41421353816986084,2,5,19,1,160,6,1,784.0,2.6666666666666665
61,0.41421353816986084,0.41421353816986084,3,6,19,3,184,6,1,1016.0,3.0163934426229506
62,1.0,0.428270122100567,29,38,107,1,9232,40,1,101166.0,148.90322580645162
63,0.6055512428283691,0.4119691627996939,27,38,107,88,9232,40,1,105098.0,146.53968253968253
64,0.41421353816986084,0.41421353816986084,1,3,6,1,64,1,1,127.0,1.0
65,0.41421353816986084,0.41421353816986084,7,8,27,3,196,9,1,1165.0,3.0153846153846153
66,0.41421353816986084,0.41421353816986084,7,11,27,1,100,9,1,907.0,1.5151515151515151
67,0.41421353816986084,0.41421353816986084,5,15,27,6,304,9,1,1459.0,4.537313432835821
68,0.41421353816986084,0.41421353816986084,2,6,14,1,68,4,1,316.0,1.0
69,0.41421353816986084,0.41421353816986084,2,8,14,3,208,4,1,578.0,3.0144927536231885
70,0.41421353816986084,0.41421353816986084,2,5,14,1,160,4,1,610.0,2.2857142857142856
71,1.0,0.4287721429552351,28,38,102,83,9232,38,1,100790.0,130.0281690140845
72,0.41421353816986084,0.41421353816986084,4,6,22,1,72,7,1,465.0,1.0
73,0.41421353816986084,0.4091236659458705,35,44,115,3,9232,43,1,102719.0,126.46575342465754
74,0.41421353816986084,0.41421353816986084,4,8,22,1,112,7,1,609.0,1.5135135135135136
